Sample_ID	group label	Master ID	Skeletal code	Skeletal element	"Published(0=no,1=yes.including.data.release.of.bioRxiv.version)"	"Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing: GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]"	Publication	Representative contact	"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r:5; Atmospheric data from Reimer et al (2020)"	"Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]"	"Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform distribution between the two bounds for a contextual date]"	"Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE"	Age at Death Estimate	Group ID	Locality	Country	Lat.	Long.	Restrictions (0=none; 1=Basic signed letter; 2=Restrictive signed letter; 3=Bolnick signed letter; 4=Never release; 5=Disease patient; 6=Basic signed letter but drafts should be circulated to Papua New Guinea Medical Research Advisory Group in advance of publication)	Pulldown Strategy	Data source	No. Libraries	Coverage on autosomal targets (Computed at (re)pulldown pre-padding)	1240k coverage (taken from original pulldown where possible)	SNPs hit on autosomal targets (Computed at pulldown for non-padded samples)	SNPs hit on autosomal targets (Computed using easystats on 1240k snpset)	Mean length of shotgun sequences (merged data)	Sex	Family ID and position within family	Sum total of ROH segments >4cM	Sum total of ROH segments >20cM	Y haplogroup automatic caller	Y haplogroup in terminal mutation notation (automatically called)	Y haplogroup  in ISOGG v15.73 notation (automatically called)	Y chromosome reference for manual call	Y haplogroup (manual curation in terminal mutation format)	Y haplogroup (manual curation in ISOGG format)	mtDNA coverage (merged data)	mtDNA haplogroup if ≥2 or published	mtDNA match to consensus if ≥2 coverage (merged data)	Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data)	Sex ratio [Y/(Y+X) counts] (merged data)	Xcontam ANGSD SNPs (only if male)	Xcontam ANGSD MOM point estimate (only if male and ≥200)	Xcontam ANGSD MOM Z-score (only if male and ≥200)	Xcontam ANGSD MOM 95% CI truncated at 0 (only if male and ≥200)	contamLD est	contamLD s.e.	contamLD warning	contamLD s.e.	"Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)"	LibraryID(s)	endogenous by library (computed on shotgun data)	1240k coverage (by library)	Damage rate in first nucleotide on sequences overlapping 1240k targets (by library)	mtDNA coverage (by library)	mtDNA haplogroup if ≥2 coverage (by library)	mtDNA match to consensus if ≥2 coverage (by library)	Individual Notes	batch notes (e.g. if a control well looks contaminated)	ASSESSMENT	"ASSESSMENT REASONING (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.98: 0.9-0.95 is ""QUESTIONABLE""; <0.9 is ""QUESTIONABLE_CRITICAL"", questionable status gets overriden by ANGSD with PASS if upper bound of contamination is <0.01 and QUESTIONABLE if upper bound is 0.01-0.05) (damage for ds.half is ""QUESTIONABLE_CRITICAL/FAIL"" if <0.01, and recorded but passed if 0.01-0.03; libraries with untreated last base are ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if <0.01, ""QUESTIONABLE"" if 0.01-0.03, and recorded but passed if 0.03-0.1) (sexratio is QUESTIONABLE if [0.03,0.10] or [0.30,0.35); QUESTIONABLE_CRITICAL/FAIL if (0.10,0.30))"
I7554	EN	I7554	NMS Unreg 1	petrous	1	2018	OlaldeNature2018	"Sheridan, Alison"	Direct: IntCal20	5182	87	"3368-3102 calBCE (4541±32 BP, SUERC-73433 )"	..	Scotland_N	"Scotland, Orkney, Unstan Chamber Tomb"	United Kingdom	58.9863	-3.249	0	Repulldown on 3.2M snpset	1240K	1	1.971171	3.410093	1316033	772769	..	M	n/a (no relatives detected)	17.897498	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	I-BY37269	I2a1a2a1a2a	Patterson2021inPreparation with ISOGG version v15.73 (automated calling followed by manual checking)	I-BY37269	I2a1a2a1a2a	135	J1c9	"[0.991,0.998]"	0.083	0.422	4507	0.00713	5.237163441	"[0.004,0.01]"	-0.003	0.006	None	"[0,0.009]"	ds.half	S7554.E1.L1	0.7777	3.410093	0.083	135	J1c9	"[0.991,0.998]"	..	..	PASS	..
I7587	EN	I7587	"SIMA10.181, Cuadricula Sima Superf., Registration No. 10.181, Nivel 570-566"	tooth	1	2019	OlaldeScience2019	"Lalueza-Fox, Carles"	Context: Archaeological - Period	4650	115	2900-2500 BCE	..	Spain_C	"Andalusia, Córdoba, Lucena, Sima del Ángel"	Spain	37.24	-4.24	0	Repulldown on 3.2M snpset	1240K	1	0.026693	0.045179	80562	51923	..	M	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	GHIJK	GHIJK	..	..	..	43	T2b3	"[0.969,0.983]"	0.055	0.417	16	n/a (<200 SNPs)	n/a (<200 SNPs)	n/a (<200 SNPs)	0.261	0.056	Very_High_Contamination	"[0.151,0.371]"	ds.half	S7587.E1.L1	0.0067	0.045179	0.055	43	T2b3	"[0.969,0.983]"	..	..	PASS	..
I7588	EN	I7588	"SIMA107, Cuadricula Sima Superf., Registration no. 10.181, Nivel 570-566"	tooth	1	2019	OlaldeScience2019	"Lalueza-Fox, Carles"	Context: Archaeological - Period	4650	115	2900-2500 BCE	..	Spain_C_contam	"Andalusia, Córdoba, Lucena, Sima del Ángel"	Spain	37.24	-4.24	0	Repulldown on 3.2M snpset	1240K	1	0.016654	0.027107	50559	31374	..	U	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	n/a  (sex unknown)	n/a  (sex unknown)	n/a  (sex unknown)	n/a  (sex unknown)	n/a  (sex unknown)	n/a  (sex unknown)	133	J1c1b	"[0.987,0.995]"	0.033	0.261	n/a (sex unknown)	n/a (sex unknown)	n/a (sex unknown)	n/a (sex unknown)	0.491	0.076	Very_High_Contamination	"[0.342,0.64]"	ds.half	S7588.E1.L1	0.0076	0.027107	0.033	133	J1c1b	"[0.987,0.995]"	..	..	QUESTIONABLE_CRITICAL	"sexratio=0.261, PC.outlier, damage.ds.half=0.033"
I7594	EN	I7594	"LL2, S-EVA 22871"	tooth	1	2019	OlaldeScience2019	"Lalueza-Fox, Carles"	Direct: IntCal20	5396	43	"3518-3371 calBCE (4670±22 BP, MAMS-16356)"	..	Spain_MLN	"Alicante, Alcoi, Llometes"	Spain	38.7025	-0.48631	0	Repulldown on 3.2M snpset	1240K	1	0.094499	0.162089	267967	172985	..	F	"Spain, Alicante, Alcoi, Llometes Family A (2 members) (I7594 is a 1st degree relative of I7595)"	n/a (too few SNPs)	n/a (too few SNPs)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	15.4	U5b2b	"[0.983,1]"	0.08	0.018	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.013	0.021	None	"[0,0.028]"	ds.half	S7594.E1.L1	..	0.162089	0.08	15.4	U5b2b	"[0.983,1.000]"	..	..	PASS	..
I7598	EN	I7598	LL25	tooth	1	2019	OlaldeScience2019	"Lalueza-Fox, Carles"	Direct: IntCal20	5411	69	"3622-3375 calBCE (4710±22 BP, MAMS-16346)"	..	Spain_MLN	"Alicante, Alcoi, Llometes"	Spain	38.7025	-0.48631	0	Repulldown on 3.2M snpset	1240K	1	0.249213	0.420707	602799	377646	..	M	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	G-PF3148	G2a2a1	..	..	..	31.2	U5b3	"[0.982,0.997]"	0.073	0.425	296	0.006701	0.941127364	"[0,0.021]"	0.023	0.019	None	"[0,0.06]"	ds.half	S7598.E1.L1	..	0.420707	0.073	31.2	U5b3	"[0.982,0.997]"	..	..	PASS	..
I7600	EN	I7600	"LL12, S-EVA 22879"	tooth	1	2019	OlaldeScience2019	"Lalueza-Fox, Carles"	"Context: From other dated individuals at the site (I7595, I7594, I7599, I7601, I7598)"	5625	188	4000-3350 BCE	..	Spain_MLN	"Alicante, Alcoi, Llometes"	Spain	38.7025	-0.48631	0	Repulldown on 3.2M snpset	1240K	1	0.19211	0.335074	487024	317531	..	F	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	30.3	K1a2a	"[0.981,0.996]"	0.058	0.011	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.016	0.027	None	"[0,0.037]"	ds.half	S7600.E1.L1	0.0309	0.335074	0.058	30.3	K1a2a	"[0.981,0.996]"	..	..	PASS	..
I7601	EN	I7601	"LL10, S-EVA 22877"	tooth	1	2019	OlaldeScience2019	"Lalueza-Fox, Carles"	Direct: IntCal20	5527	37	"3644-3528 calBCE (4810±22 BP, MAMS-16354)"	..	Spain_MLN	"Alicante, Alcoi, Llometes"	Spain	38.7025	-0.48631	0	Repulldown on 3.2M snpset	1240K	1	0.093994	0.161148	264600	171778	..	M	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	G-PF3148	G2a2a1	..	..	..	21.1	X2b+226	"[0.965,0.988]"	0.069	0.426	49	n/a (<200 SNPs)	n/a (<200 SNPs)	n/a (<200 SNPs)	-0.115	0.011	Model_Misspecified	"[0,0]"	ds.half	S7601.E1.L1	0.0124	0.161148	0.069	21.1	X2b+226	"[0.965,0.988]"	..	..	PASS	..
I7602	EN	I7602	Mandubi Zelaia-13G-12.15 (x.4; y.74; Z.151)	tooth	1	2019	OlaldeScience2019	"Lalueza-Fox, Carles"	Context: Archaeological - Period	5050	231	3500-2700 BCE	..	Spain_MLN	Mandubi Zelaia	Spain	43.085823	-2.251197	0	Repulldown on 3.2M snpset	1240K	1	0.526364	0.931627	947740	606534	..	M	"Spain, Mandubi Zelaia Family A (2 members) (I7602-I7605 are 2nd or 3rd degree relatives)"	34.896012	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	I-PF692	I2a1b1b	..	..	..	47.3	J1c1	"[0.989,0.999]"	0.125	0.415	1238	0.002515	1.181596598	"[0,0.007]"	-0.015	0.008	None	"[0,0.001]"	ds.half	S7602.E1.L1	0.0468	0.931627	0.125	47.3	J1c1	"[0.989,0.999]"	..	..	PASS	..
I7603	EN	I7603	Mandubi Zelaia-13G-12.9 (x.10; y74;z.152)	tooth	1	2019	OlaldeScience2019	"Lalueza-Fox, Carles"	Context: Archaeological - Period	5050	231	3500-2700 BCE	..	Spain_MLN	Mandubi Zelaia	Spain	43.085823	-2.251197	0	Repulldown on 3.2M snpset	1240K	1	0.49541	0.860499	875857	552893	..	M	n/a (no relatives detected)	15.875194	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	I-PF692	I2a1b1b	..	..	..	37.7	K1a2b	"[0.975,0.993]"	0.09	0.438	1100	0.004809	1.609874163	"[0,0.011]"	-0.01	0.011	None	"[0,0.012]"	ds.half	S7603.E1.L1	0.0117	0.860499	0.09	37.7	K1a2b	"[0.975,0.993]"	..	..	PASS	..
I7604	EN	I7604	Mandubi Zelaia-13G-14.5	tooth	1	2019	OlaldeScience2019	"Lalueza-Fox, Carles"	Context: Archaeological - Period	5050	231	3500-2700 BCE	..	Spain_MLN	Mandubi Zelaia	Spain	43.085823	-2.251197	0	Repulldown on 3.2M snpset	1240K	1	0.68075	1.191627	1090043	685040	..	M	n/a (no relatives detected)	8.714604	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	I-PF692	I2a1b1b	..	..	..	29.7	H1ak	"[0.971,0.995]"	0.094	0.42	1851	0.013263	4.012724054	"[0.007,0.02]"	0.001	0.011	None	"[0,0.023]"	ds.half	S7604.E1.L1	0.0355	1.191627	0.094	29.7	H1ak	"[0.971,0.995]"	..	..	PASS	"Xcontam=[0.007,0.02]"
I7605	EN	I7605	Mandubi Zelaia-13G-15.4 (x.32; y.9; z.158)	tooth	1	2019	OlaldeScience2019	"Lalueza-Fox, Carles"	Context: Archaeological - Period	5050	231	3500-2700 BCE	..	Spain_MLN	Mandubi Zelaia	Spain	43.085823	-2.251197	0	Repulldown on 3.2M snpset	1240K	1	0.24718	0.428036	575588	371686	..	M	"Spain, Mandubi Zelaia Family A (2 members) (I7602-I7605 are 2nd or 3rd degree relatives)"	n/a (too few SNPs)	n/a (too few SNPs)	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	I-PF692	I2a1b1b	..	..	..	13.6	H3	"[0.972,1.000]"	0.094	0.435	379	0.002594	0.612751322	"[0,0.011]"	-0.013	0.02	None	"[0,0.026]"	ds.half	S7605.E1.L1	0.0068	0.428036	0.094	13.6	H3	"[0.972,1.000]"	..	..	PASS	..
I7606	EN	I7606	Mandubi Zelaia-13H-16.37	tooth	1	2019	OlaldeScience2019	"Lalueza-Fox, Carles"	Context: Archaeological - Period	5050	231	3500-2700 BCE	..	Spain_MLN	Mandubi Zelaia	Spain	43.085823	-2.251197	0	Repulldown on 3.2M snpset	1240K	1	1.762824	3.056932	1392514	814536	..	M	n/a (no relatives detected)	26.523096	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	I-PF692	I2a1b1b	..	..	..	85.7	U5b1+16189+@16192	"[0.980,0.992]"	0.068	0.421	4826	0.002565	2.276216422	"[0,0.005]"	-0.005	0.007	None	"[0,0.009]"	ds.half	S7606.E1.L1	0.3952	3.056932	0.068	85.7	U5b1+16189+@16192	"[0.980,0.992]"	..	..	PASS	..
I7642	EN	I7642	LL27	tooth	1	2019	OlaldeScience2019	"Lalueza-Fox, Carles"	Direct: IntCal20	4809	50	"2909-2706 calBCE (4240±23 BP, MAMS-16338)"	..	Spain_MLN	"Valencian Community, Alacant/Alicante, Alcoi, Les Llometes"	Spain	38.7025	-0.48631	0	Repulldown on 3.2M snpset	1240K	1	0.521711	0.906329	964255	608960	..	M	n/a (no relatives detected)	4.121002	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	I-PF692	I2a1b1b	..	..	..	30.2	J2b1a	"[0.961,0.985]"	0.064	0.424	1090	0.007743	2.206091011	"[0.001,0.015]"	0.014	0.015	None	"[0,0.043]"	ds.half	S7642.E1.L1	0.0314	0.906329	0.064	30.2	J2b1a	"[0.961,0.985]"	..	..	PASS	..
I7643	EN	I7643	"LL3, S-EVA 22872"	tooth	1	2019	OlaldeScience2019	"Lalueza-Fox, Carles"	Direct: IntCal20	5803	63	"3952-3713 calBCE (5040±33 BP, MAMS-16344)"	..	Spain_MLN	"Valencian Community, Alacant/Alicante, Alcoi, Les Llometes"	Spain	38.7025	-0.48631	0	Repulldown on 3.2M snpset	1240K	1	0.07956	0.138472	226990	148529	..	M	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	H-Y19962	H2c1a~	..	..	..	27.2	K1a1b1	"[0.988,0.999]"	0.065	0.42	43	n/a (<200 SNPs)	n/a (<200 SNPs)	n/a (<200 SNPs)	-0.012	0.032	None	"[0,0.051]"	ds.half	S7643.E1.L1	0.0344	0.138472	0.065	27.2	K1a1b1	"[0.988,0.999]"	..	..	PASS	..
I7644	EN	I7644	LL4	tooth	1	2019	OlaldeScience2019	"Lalueza-Fox, Carles"	Direct: IntCal20	5521	48	"3635-3386 calBCE (4760±22 BP, MAMS-16353)"	..	Spain_MLN	"Valencian Community, Alacant/Alicante, Alcoi, Les Llometes"	Spain	38.7025	-0.48631	0	Repulldown on 3.2M snpset	1240K	1	0.207498	0.355377	527075	337454	..	M	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	I-Y3104	I2a1a2	..	..	..	0.708	n/a (<2x)	n/a (<2x)	0.062	0.424	195	n/a (<200 SNPs)	n/a (<200 SNPs)	n/a (<200 SNPs)	-0.067	0.03	Model_Misspecified	"[0,0]"	ds.half	S7644.E1.L1	0.0426	0.355377	0.062	0.71	..	..	..	..	PASS	..
I7645	EN	I7645	"LL5, S-EVA 22874"	tooth	1	2019	OlaldeScience2019	"Lalueza-Fox, Carles"	Direct: IntCal20	5845	61	"3981-3804 calBCE (5120±25 BP, MAMS-16340)"	..	Spain_MLN	"Valencian Community, Alacant/Alicante, Alcoi, Les Llometes"	Spain	38.7025	-0.48631	0	Repulldown on 3.2M snpset	1240K	1	0.016634	0.028574	50634	32778	..	M	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	I-Y21979	I2a1a1b	..	..	..	7.09	HV0d	"[0.933,0.975]"	0.062	0.409	4	n/a (<200 SNPs)	n/a (<200 SNPs)	n/a (<200 SNPs)	0.111	0.019	None	"[0.074,0.148]"	ds.half	S7645.E1.L1	0.0113	0.028574	0.062	7.09	HV0d	"[0.933,0.975]"	..	..	PASS	"mtcontam=[0.933,0.975]"
I7646	EN	I7646	"LL7, S-EVA 22875"	tooth	1	2019	OlaldeScience2019	"Lalueza-Fox, Carles"	Direct: IntCal20	5613	33	"3711-3540 calBCE (4880±28 BP, MAMS-16339)"	..	Spain_MLN	"Valencian Community, Alacant/Alicante, Alcoi, Les Llometes"	Spain	38.7025	-0.48631	0	Repulldown on 3.2M snpset	1240K	1	0.071783	0.124738	206009	135226	..	F	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	21.2	H1e1c	"[0.980,0.998]"	0.079	0.016	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.038	0.036	None	"[0,0.109]"	ds.half	S7646.E1.L1	0.0154	0.124738	0.079	21.2	H1e1c	"[0.980,0.998]"	..	..	PASS	..
I7647	EN	I7647	"LL9, S-EVA 22876"	tooth	1	2019	OlaldeScience2019	"Lalueza-Fox, Carles"	Direct: IntCal20	5945	31	"4045-3955 calBCE (5180±24 BP, MAMS-16335)"	..	Spain_MLN	"Valencian Community, Alacant/Alicante, Alcoi, Les Llometes"	Spain	38.7025	-0.48631	0	Repulldown on 3.2M snpset	1240K	1	0.011751	0.020102	35909	23296	..	M	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	H-Y19962	H2c1a~	..	..	..	5.73	K1b1a	"[0.940,0.967]"	0.041	0.419	5	n/a (<200 SNPs)	n/a (<200 SNPs)	n/a (<200 SNPs)	-0.114	0.023	Model_Misspecified	"[0,0]"	ds.half	S7647.E1.L1	0.0116	0.020102	0.041	5.73	K1b1a	"[0.940,0.967]"	..	..	PASS	"damage.ds.half=0.041, mtcontam=[0.94,0.967]"
I7679_published	EN	I7679	CH-08-C14A-UE1402-E21	petrous	1	2019	OlaldeScience2019	"Lalueza-Fox, Carles"	"Context (WARNING CONSTITUENT DATES' CALIBRATION METHODOLOGY UNCLEAR; MAY NEED MARINE CALIBRATION): Layer date based on separate skeletons 3948-3708 calBCE (5020±50 BP, CNA-360); 4221-3990 calBCE (5650±40 BP, CNA-664); 4244-3983 calBCE [5665±50 BP, CNA-833)"	5950	173	4300-3700 BCE	..	Spain_MLN_contam	"Cádiz, San Fernando, Campo de Hockey"	Spain	36.445	-6.21	0	Repulldown on 3.2M snpset	1240K	3	0.092642	0.165021	244558	164595	..	F	"Spain, Cádiz, San Fernando, Campo de Hockey Family A (2 members) (I8134-I7679 are 2nd or 3rd degree relatives)"	n/a (too few SNPs)	n/a (too few SNPs)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	..	H	..	..	0.01	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.008	0.027	Model_Misspecified	"[0,0.045]"	"ds.half,ds.half,ss.half"	"S7679.E1.L1,S7679.E1.L2,S7679.E1.L3"	"0.00470,0.00130,.."	"0.030,0.014,0.020"	..	"4.56,1.73,2.84"	"H2,..,H2"	"[0.943,1.000],..,[0.526,0.793]"	..	..	QUESTIONABLE	mtmatchmax=0.793-1
I7807	EN	I7807	PP V	..	1	2020	FernandesNatureEcologyEvolution2020	"Sineo, Luca"	Direct: IntCal20	4038	42	"2195-2027 calBCE (3700±20 BP, PSUAMS-6468)"	..	Italy_Sicily_EBA	"Sicily, Contrada Paolina, Castellucciana"	Italy	36.8831	14.5712	0	Repulldown on 3.2M snpset	1240K	1	0.101551	0.174321	280769	181863	..	F	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	28	T2c1+146	"[0.963,0.983]"	0.113	0.014	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.008	0.024	None	"[0,0.039]"	ds.half	S7807.E1.L1	0.0525	0.174321	0.113	28	T2c1+146	"[0.963,0.983]"	..	..	PASS	..
I7950	EN	I7950	"HOST_1021, P7A-17702"	petrous	1	2021	PattersonNature2021	"Pinhasi, Ron"	Direct: IntCal20	5398	42	"3516-3367 calBCE (4655±25 BP, PSUAMS-10085)"	..	Czech_N_oWHG	"Central Bohemia, Prague-West, Hostivice-Palouky"	Czech Republic	50.07884	14.280243	0	Repulldown on 3.2M snpset	1240K	1	2.976902	5.199213	1386607	818057	..	F	n/a (no relatives detected)	0	0	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	153	H	"[0.987,0.999]"	0.11	0.011	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.003	0.004	None	"[0,0.011]"	ds.half	S7950.E1.L1	0.8072	5.199213	0.11	153	H	"[0.987,0.999]"	..	..	PASS	..
I7951	EN	I7951	"HOST_20, P7A-18516"	petrous	1	2021	PattersonNature2021	"Pinhasi, Ron"	Context: Archaeological - Period	7200	144	5500-5000 BCE	..	Czech_N_oWHG	"Central Bohemia, Prague-West, Hostivice-Sadová"	Czech Republic	50.080832	14.245241	0	Repulldown on 3.2M snpset	1240K	1	0.301735	0.527841	638969	416384	..	F	n/a (no relatives detected)	4.331901	0	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	21.4	U8b1a1	"[0.974,0.996]"	0.157	0.009	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.003	0.013	None	"[0,0.022]"	ds.half	S7951.E1.L1	0.0216	0.527841	0.157	21.4	U8b1a1	"[0.974,0.996]"	..	..	PASS	..
I7952	EN	I7952	"HOST_273, P7A-18522"	petrous	1	2021	PattersonNature2021	"Pinhasi, Ron"	Context: Archaeological - Period	7200	144	5500-5000 BCE	..	Czech_N	"Central Bohemia, Prague-West, Hostivice-Sadová"	Czech Republic	50.080832	14.245241	0	Repulldown on 3.2M snpset	1240K	1	2.993138	5.162873	1496758	850276	..	M	n/a (no relatives detected)	4.271293	0	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	I-CTS10057	I2a1b1a2	..	..	..	218	N1a1a	"[0.991,0.998]"	0.089	0.417	6276	0.004671	5.088217003	"[0.003,0.006]"	-0.006	0.004	None	"[0,0.002]"	ds.half	S7952.E1.L1	0.8123	5.162873	0.089	218	N1a1a	"[0.991,0.998]"	..	..	PASS	..
I8131	EN	I8131	"A56-2017-UE5114 Diente 2, Diente 3"	tooth	1	2019	OlaldeScience2019	"Lalueza-Fox, Carles"	Direct: IntCal20	4459	46	"2576-2356 calBCE (3980±30 BP, Beta-504712)"	..	Spain_C	"Valencian Community, València/Valencia, La Vital, Gandia"	Spain	38.9777	-0.16037	0	Repulldown on 3.2M snpset	1240K	2	0.054865	0.097502	159794	106247	..	F	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	3.919911	J2b1	"[0.899,0.986]"	..	..	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.037	0.044	None	"[0,0.123]"	"ds.half,ds.half"	"S8131.E1.L1,S8133.E1.L1"	"0.00620,0.00980"	"0.010,0.100"	"0.119,0.174"	"3.85,31.20"	"J2b1,J2b1a"	"[0.977,0.995],[0.973,0.991]"	..	..	PASS	..
I8134	EN	I8134	CH-08-C17A-UE1709-E4	petrous	1	2019	OlaldeScience2019	"Lalueza-Fox, Carles"	"Context: Layer dates of 3952-3657 calBCE (5020±50 BP, CNA-360), 4585-4361 calBCE (5650±40 BP, CNA-664), 4652-4362 calBCE [5665±50 BP, CNA-833) on individuals from same site calibrated by IntCal20"	6100	318	4700-3600 BCE	..	Spain_MLN	"Cádiz, San Fernando, Campo de Hockey"	Spain	36.445	-6.21	0	Repulldown on 3.2M snpset	1240K	1	0.953469	1.673109	1055796	662946	..	F	"Spain, Cádiz, San Fernando, Campo de Hockey Family A (2 members) (I8134-I7679 are 2nd or 3rd degree relatives)"	5.6782	0	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	56	U5b3	"[0.965,0.986]"	0.23	0.008	n/a (female)	n/a (female)	n/a (female)	n/a (female)	-0.01	0.005	None	"[0,0]"	ds.half	S8134.E1.L1	..	1.673109	0.23	56	U5b3	"[0.965,0.986]"	..	..	PASS	..
I8148	EN	I8148	11801	tooth	1	2019	OlaldeScience2019	"Lalueza-Fox, Carles"	Context: Archaeological - Period	4650	115	2900-2500 BCE	..	Spain_C	"Andalusia, Córdoba, Lucena, Sima del Ángel"	Spain	37.24	-4.24	0	Repulldown on 3.2M snpset	1240K	1	0.010718	0.018516	32812	21615	..	M	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	Lazaridis caller (12/6/2020) based on Yfull 8.09 running directly on the bam	F	F	..	..	..	18.4	T2b3+151	"[0.992,1.000]"	0.083	0.409	3	n/a (<200 SNPs)	n/a (<200 SNPs)	n/a (<200 SNPs)	-0.087	0.037	Model_Misspecified	"[0,0]"	ds.half	S8148.E1.L1	0.0031	0.018516	0.083	18.4	T2b3+151	"[0.992,1.000]"	..	..	PASS	..
I8149	EN	I8149	11813	tooth	1	2019	OlaldeScience2019	"Lalueza-Fox, Carles"	Context: Archaeological - Period	4650	115	2900-2500 BCE	..	Spain_C	"Andalusia, Córdoba, Lucena, Sima del Ángel"	Spain	37.24	-4.24	0	Repulldown on 3.2M snpset	1240K	1	0.039262	0.067339	117112	76132	..	F	n/a (no relatives detected)	n/a (too few SNPs)	n/a (too few SNPs)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	n/a (female)	16	T	"[0.943,0.973]"	0.147	0.016	n/a (female)	n/a (female)	n/a (female)	n/a (female)	0.004	0.013	Model_Misspecified	"[0,0.029]"	ds.half	S8149.E1.L1	0.0037	0.067339	0.147	16	T	"[0.943,0.973]"	..	..	PASS	"mtcontam=[0.943,0.973]"
